Paying Month,Purchase Source,Continent,Paying Year,Purchase Description,Detailed Description,Amount,TaxAmountPHP,Probability,Customer,Customer Size,Currency,CurrencyRate,Product Details,ProductCategory,Industry,Sub-Industry,Type of Purchase,AmountLocal,TaxAmountLocal
01/05/2021 0:00,Online Website,North America,2021,Line Item 1,XXX_Line_Item_1_A,78705.6,0,1.,Customer1,0-50,USD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,60800,1539.08
01/03/2021 0:00,Online Website,North America,2021,Line Item 2,XXX_Line_Item_2_A,90946.76,0,1.,Customer2,0-50,USD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,69140,1338.5
01/11/2020 0:00,Online Website,North America,2021,Line Item 3,XXX_Line_Item_3_A,38684.36,0,1.,Customer3,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,28600,493.4
01/06/2020 0:00,Online Website,North America,2020,Lite Item 4,XXX_Line_Item_1_A,98354.25,0,1.,Customer4,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,67500,1539.08
01/05/2020 0:00,Online Website,North America,2020,Line Item 4,XXX_Line_Item_2_A,101364.75,0,1.,Customer5,0-50,USD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,67500,16647.5
01/12/2021 0:00,Online Website,South America,2022,Line Item 5,XXX_Line_Item_3_A,40336.43,0,1.,Customer6,0-50,USD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,25860,8323.76
01/12/2019 0:00,Online Website,Asia,2020,Line Item 6,XXX_Line_Item_1_A,188756,18875.56,1.,Customer7,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,188756,2998
01/01/2020 0:00,Online Website,Asia,2020,Lite Item 5,XXX_Line_Item_2_A,13078,1307.8,1.,Customer8,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,13078,180
01/02/2020 0:00,Online Website,Asia,2020,Line Item 7,XXX_Line_Item_3_A,90380,9038.04,1.,Customer9,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,90380,191.6
01/03/2020 0:00,Online Website,Asia,2020,Line Item 8,XXX_Line_Item_1_A,46434,4643.5,1.,Customer10,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,46434,1646.4
01/04/2020 0:00,Online Website,Asia,2020,Line Item 9,XXX_Line_Item_2_A,52312,5231.2,1.,Customer11,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,52312,4939.2
01/06/2020 0:00,Online Website,Asia,2020,Lite Item 6,XXX_Line_Item_3_A,52312,5231.2,1.,Customer12,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,52312,232
01/06/2020 0:00,Online Website,Asia,2020,Line Item 10,XXX_Line_Item_1_A,180760,18076.08,1.,Customer13,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,180760,2.24
01/09/2020 0:00,Online Website,Asia,2021,Line Item 11,XXX_Line_Item_2_A,30768,3076.88,1.,Customer14,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,30768,191.88
01/09/2020 0:00,Online Website,Asia,2021,Line Item 12,XXX_Line_Item_3_A,26494,2649.34,1.,Customer15,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,26494,33.4
01/02/2021 0:00,Online Website,Asia,2021,Lite Item 7,XXX_Line_Item_1_A,66738,6673.84,1.,Customer16,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,66738,15.72
01/05/2021 0:00,Online Website,Asia,2021,Line Item 13,XXX_Line_Item_2_A,33370,3336.92,1.,Customer17,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,33370,44
01/06/2021 0:00,Online Website,Asia,2021,Line Item 14,XXX_Line_Item_3_A,61012,6101.2,1.,Customer18,0-50,AUD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,61012,288
01/05/2020 0:00,Online Website,Asia,2020,Line Item 15,XXX_Line_Item_1_A,6900,690,1.,Customer19,0-50,AUD,1.,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,6900,24
