Paying Month,Amount,Purchase Source,Continent,Paying Year,Purchase Description,Detailed Description,TaxAmountPHP,Probability,Customer,Customer Size,Currency,CurrencyRate,Product Details,ProductCategory,Industry,Sub-Industry,Type of Purchase,AmountLocal,TaxAmountLocal
01/05/2021 0:00,78705.6,Online Website,North America,2021,Line Item 1,XXX_Line_Item_1_A,0,1,Customer1,0-50,USD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,60800,1539.08
01/03/2021 0:00,90946.76,Online Website,North America,2021,Line Item 2,XXX_Line_Item_2_A,0,1,Customer2,0-50,USD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,69140,1338.5
01/11/2020 0:00,38684.36,Online Website,North America,2021,Line Item 3,XXX_Line_Item_3_A,0,1,Customer3,0-50,USD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,28600,493.4
01/06/2020 0:00,98354.25,Online Website,North America,2020,Lite Item 4,XXX_Line_Item_1_A,0,1,Customer4,0-50,USD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,67500,1539.08
01/05/2020 0:00,101364.75,Online Website,North America,2020,Line Item 4,XXX_Line_Item_2_A,0,1,Customer5,0-50,USD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,67500,16647.5
01/12/2021 0:00,40336.43,Online Website,South America,2022,Line Item 5,XXX_Line_Item_3_A,0,1,Customer6,0-50,USD,,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,25860,8323.76
01/12/2019 0:00,188756,Online Website,Asia,2020,Line Item 6,XXX_Line_Item_1_A,18875.56,1,Customer7,0-50,AUD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,188756,2998
01/01/2020 0:00,13078,Online Website,Asia,2020,Lite Item 5,XXX_Line_Item_2_A,1307.8,1,Customer8,0-50,AUD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,13078,180
01/02/2020 0:00,90380,Online Website,Asia,2020,Line Item 7,XXX_Line_Item_3_A,9038.04,1,Customer9,0-50,AUD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,90380,191.6
01/03/2020 0:00,46434,Online Website,Asia,2020,Line Item 8,XXX_Line_Item_1_A,4643.5,1,Customer10,0-50,AUD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,46434,1646.4
01/04/2020 0:00,52312,Online Website,Asia,2020,Line Item 9,XXX_Line_Item_2_A,5231.2,1,Customer11,0-50,AUD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,52312,4939.2
01/06/2020 0:00,52312,Online Website,Asia,2020,Lite Item 6,XXX_Line_Item_3_A,5231.2,1,Customer12,0-50,AUD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,52312,232
01/06/2020 0:00,180760,Online Website,Asia,2020,Line Item 10,XXX_Line_Item_1_A,18076.08,1,Customer13,0-50,AUD,1,Product_Details_xxxxxxx,Product C,Healthcare,HealthCare and Life Sciences,Professional Services,180760,2.24
